l,qe,qc,qs,x1,x2,NN_x1,NN_x2
0,2.0,1.1959357804836885,0.4552165983691442,0.35752573453604114,0.20721770156451425,0.29327421215957794,0.2473864013436997
1,2.0,2.0,1.1359135122753656,1.0,1.2902972360293488,1.0952747948734196,1.3276344076685915
2,2.0,2.659498438445961,1.5453099225271465,1.7682419736802735,2.3879811571370935,1.8972586511428575,2.40787727260902
3,2.0,3.213895931175867,1.8633444378053647,2.58229354868914,3.4720511761787525,2.6936985965672666,3.491880831558642
4,2.0,3.7000104984035334,2.132232486243477,3.422532189430281,4.546414222917131,3.505615443173382,4.563719945223491
5,2.0,4.1377660486262995,2.36932323540012,4.2802900334781695,5.613691554012652,4.328821900079552,5.627928082146984
6,2.0,4.539081747642407,2.5837084636058156,5.150828844381328,6.675548468703856,5.175444439360772,6.721217584148385
7,2.0,4.911704687771592,2.780845049225247,6.0312236649718285,7.733098297012113,6.076671133385495,7.774993082239531
8,2.0,5.260990837902326,2.9643084039802305,6.919518877758068,8.787123476239106,6.976909553970669,8.79472285770249
9,2.0,5.590820376482072,3.136590153318977,7.814330618754459,9.838196996546525,7.862321540893801,9.817635764918549
10,2.0,5.904108672451986,3.299508060157567,8.714637061423295,10.886752683440788,8.741356855730304,10.853823117352881
11,2.0,6.203110921662272,3.45443610134011,9.619658292623543,11.93312805531852,9.641207609943825,11.892623905117071
12,2.0,6.489613623957593,3.4911670081178765,10.528783026448854,12.0,10.575590949576421,11.976843029567341
