l,qe,qc,qs,x1,x2,NN_x1,NN_x2
0,2.0,0.7461708921311809,0.20528414177462784,0.1391917829056041,0.04214232388784046,0.07944264681376084,0.06044815225802288
1,2.0,2.0,1.0448054510081128,1.0,1.091618363510718,1.0007698411686226,1.0982817998948655
2,2.0,2.774792836954747,1.4585719196838718,1.9248690776774973,2.1274319973967173,1.9222391302328323,2.134757738570729
3,2.0,3.3860986479985127,1.7764733265067687,2.8664163366342104,3.1558574408950983,2.858951376458556,3.16449034505196
4,2.0,3.9073569864065862,2.044542120046119,3.8168599988224665,4.180152446881992,3.8205706776399246,4.1817065593212375
5,2.0,4.369468985905975,2.2807275367445823,4.773065153370846,5.2017180666161,4.781644451664696,5.2038123916485395
6,2.0,4.788901326807185,2.4942549250567865,5.733394326173555,6.221307603519097,5.737566989942577,6.228959088420243
7,2.0,5.175659881252955,2.6906098052795673,6.696864143429962,7.239381098638702,6.696847235727773,7.246699678384771
8,2.0,5.536363019299159,2.873368033988787,7.662829206061967,8.256243834754294,7.666422798802324,8.258862241386744
9,2.0,5.875657764346124,3.0450140683296794,8.630838870018886,9.272110653686493,8.637041945311278,9.271592578213403
10,2.0,6.196955189626699,3.207357096869713,9.600563727955196,10.287139525349236,9.597932999544772,10.284755559318402
11,2.0,6.502846767376472,3.361763025884397,10.571754335807677,11.301450621700852,10.576198223782871,11.305670816655201
12,2.0,6.795356093597111,3.4730932424122085,11.544216419139142,12.0,11.543200599267923,11.98048855159394
