qe,qc,vc,qs,vs,x1,x2,ref1,ref2,erro1,erro2,erro,control_elapsed
0.9683837010851535,0.20707888320213996,83.34122660146534,0.05612243696409035,100,0.015609888307092666,0.003187631994793144,4.0,4.0,3.9843901116929072,3.996812368005207,7.981202479698114,661.3113880157471
1.3157869504234285,0.2039776355556532,52.980268322917794,0.07588919059940172,100,0.037073093130961764,0.005758403394052137,4.0,4.0,3.962926906869038,3.994241596605948,7.9571685034749855,234.93361473083496
2.070389793417604,0.22649186263406576,42.146114439658604,0.0917963428206488,100,0.07221148586896037,0.008425701518292833,4.0,4.0,3.9277885141310396,3.9915742984817073,7.919362812612746,479.07352447509766
2.738825293265272,0.012414133266749082,1.7672749338616427,0.08373159932554082,100,0.12335782032594239,0.007013017142566437,4.0,4.0,3.8766421796740578,3.9929869828574334,7.869629162531491,321.66051864624023
3.033915457459832,0.056884669317467676,6.71767377059618,0.08084698627591184,100,0.1792651847711937,0.006536885884660568,4.0,4.0,3.820734815228806,3.9934631141153396,7.814197929344146,246.36197090148926
3.733396541241057,0.0,0.0,0.07145594241591319,100,0.2492663699194635,0.00510882905427199,4.0,4.0,3.7507336300805365,3.994891170945728,7.745624801026265,272.63784408569336
4.0,0.24057929455198102,21.26400374016707,0.08998196940778506,100,0.32001452521489504,0.008096127118135862,4.0,4.0,3.679985474785105,3.9919038728818643,7.671889347666969,368.117094039917
4.0,0.5488851678694094,44.220792522157026,0.12773756438840536,100,0.38517019721961043,0.01632115681367398,4.0,4.0,3.6148298027803896,3.983678843186326,7.5985086459667155,551.5661239624023
4.0,1.199316528885373,90.56916637849913,0.18916270350564007,100,0.4383766926975975,0.03579450077425711,4.0,4.0,3.5616233073024026,3.9642054992257427,7.525828806528145,517.1539783477783
4.0,1.2682712123678699,90.56916637849913,0.23572729189247535,100,0.49023434296607604,0.055571786569037926,4.0,4.0,3.509765657033924,3.944428213430962,7.454193870464886,1857.9537868499756
4.0,1.3321345402157863,90.56916637849913,0.27521802400157647,100,0.5408482760995211,0.07574729151569867,4.0,4.0,3.459151723900479,3.9242527084843015,7.383404432384781,2009.2661380767822
4.0,1.3917109196308723,90.56916637849913,0.310390002459811,100,0.5903060530988844,0.09634338431054781,4.0,4.0,3.4096939469011156,3.903656615689452,7.313350562590568,1021.6636657714844
4.0,1.4476140906913928,90.56916637849913,0.34257440014758395,100,0.6386820538242072,0.11735817663118417,4.0,4.0,3.361317946175793,3.882641823368816,7.243959769544609,831.0058116912842
4.0,1.500324935632762,90.56916637849913,0.3725309569805212,100,0.6860404675571341,0.13877998920516077,4.0,4.0,3.313959532442866,3.861220010794839,7.1751795432377055,834.5983028411865
4.0,1.3605143420477064,79.29465100862828,0.3963308304328307,100,0.7359671835614202,0.15707833508739238,4.0,4.0,3.2640328164385797,3.8429216649126077,7.106954481351187,599.0548133850098
4.0,1.4051368889709122,79.29465100862828,0.41925592733617134,100,0.7850357660570187,0.17577568537053362,4.0,4.0,3.214964233942981,3.8242243146294665,7.039188548572447,841.090202331543
4.0,1.447675996353858,79.29465100862828,0.4414160844919231,100,0.8332875665027204,0.19484827061586255,4.0,4.0,3.1667124334972794,3.8051517293841375,6.971864162881417,840.5570983886719
4.0,1.441789384956352,76.776682719826,0.46196370594490604,100,0.8816270631355515,0.21341050802424083,4.0,4.0,3.1183729368644486,3.786589491975759,6.904962428840207,453.58729362487793
4.0,1.4802027068568673,76.776682719826,0.48198836662126454,100,0.9292309031534102,0.23231280881887803,4.0,4.0,3.0707690968465897,3.767687191181122,6.838456288027712,989.7093772888184
4.0,1.4870764758641388,75.23590559365,0.5009775287974642,100,0.9766888992843848,0.25097847527202843,4.0,4.0,3.023311100715615,3.7490215247279717,6.772332625443587,1266.1781311035156
4.0,1.5222767676730207,75.23590559365,0.5195690217450023,100,1.0234741521537642,0.2699519491397405,4.0,4.0,2.9765258478462355,3.7300480508602596,6.706573898706495,1179.1551113128662
4.0,1.5562099973563606,75.23590559365,0.5377887132725322,100,1.0696114409376585,0.28921667250968025,4.0,4.0,2.9303885590623415,3.71078332749032,6.641171886552661,1261.354923248291
4.0,1.5889736056575425,75.23590559365,0.5556595128812226,100,1.115123589425056,0.3087574596496647,4.0,4.0,2.884876410574944,3.691242540350335,6.576118950925279,854.3007373809814
4.0,1.6206532778762544,75.23590559365,0.5732018556568578,100,1.160031707913416,0.32856032687863507,4.0,4.0,2.839968292086584,3.6714396731213648,6.511407965207949,1306.9241046905518
