x1,qe,vc,x2,vs,diff1,diff2
3.02,3.41,63.0,2.52,19.0,0.36094102456084576,0.6089370724443008
8.66,3.99,3.0,11.86,21.0,1.1898428193904103,-0.16779812080248746
0.91,1.92,87.0,0.67,46.0,0.07086400591027087,0.3973345976428747
11.63,2.35,32.0,12.09,54.0,0.05156020226875491,-0.08999999999999986
1.75,1.22,100.0,1.19,36.0,-0.3949017689023202,0.6280757680143785
1.94,1.42,78.0,3.79,24.0,-0.21545880929381678,0.5045044660782487
6.72,2.33,3.0,1.31,16.0,0.6783120788100421,-0.007093699948352183
7.61,0.87,40.0,8.76,14.0,-0.40837225848573766,0.5468705535205203
3.3200000000000003,0.22,51.0,12.19,74.0,-0.4897266609623321,-0.38859242029732854
8.11,3.56,96.0,9.700000000000001,91.0,-0.5654999972229957,0.7686042961815005
11.98,3.46,99.0,5.45,58.0,-1.0137064610352127,1.6318826437798561
4.1,3.11,65.0,3.4,97.0,0.14207859355759123,0.26160027675498077
5.4,3.67,24.0,10.540000000000001,30.0,0.7858531548263006,0.05870469328038297
6.3500000000000005,3.69,65.0,9.96,81.0,0.12434522388588931,0.22640411497585688
9.32,1.52,38.0,9.75,66.0,-0.24523403279073008,0.07400665881478119
6.640000000000001,1.4000000000000001,7.0,9.74,52.0,0.3234004871143039,-0.3876670018894206
5.2700000000000005,1.94,96.0,8.68,14.0,-0.7217393997696231,1.1849687236502895
1.01,2.54,99.0,10.17,69.0,0.14849888469168415,-0.03727445977318489
2.93,2.99,22.0,1.36,58.0,0.6856556463296446,0.038591180971317085
1.07,0.11,16.0,0.4,63.0,-0.0674056404335468,-0.021383140903044773
3.71,3.66,39.0,8.83,28.0,0.6539358612178185,0.2320967095987143
1.86,0.8,79.0,8.53,43.0,-0.3859588528298279,0.23330918337915207
5.12,2.45,56.0,6.46,40.0,-0.025341182277165863,0.46735854313709524
0.62,2.3000000000000003,1.0,9.18,100.0,0.7126090589783111,-0.9162052564693006
9.13,0.89,82.0,0.54,10.0,-1.2168509521517326,1.4495170125275592
10.27,2.66,81.0,1.51,9.0,-0.7603028634431954,1.5431078976334474
6.69,2.87,10.0,2.11,64.0,0.7308721898565098,-0.11940948259083095
2.71,1.56,2.0,11.94,4.0,0.4660610136185439,-0.021564678889022915
6.46,1.6500000000000001,25.0,11.790000000000001,39.0,0.11669450556645167,-0.019015494121365606
8.27,2.71,52.0,2.5100000000000002,67.0,-0.085309976586192,0.5812555525388996
12.96,1.56,71.0,5.21,30.0,-1.7783597110915466,1.2928212175439606
