qe,qs,x,ref,erro,s,value_s,a,value_a,next_s,value_next_s,reward,done
4.0,0.9497140984284325,0.21094565012235345,6.0,-5.789054349877647,600,-6.0,104,1.04,621,-5.79,0,False
3.56,1.087607426608647,0.3733675859025337,6.0,-5.626632414097466,621,-5.79,89,0.89,637,-5.63,0,False
3.92,1.3665995115344072,0.5398224035019838,6.0,-5.460177596498016,637,-5.63,98,0.98,654,-5.46,0,False
4.0,1.7867024274524759,0.6841829826435784,6.0,-5.315817017356421,654,-5.46,106,1.06,668,-5.32,0,False
4.0,1.2608520657672153,0.8595124268863903,6.0,-5.14048757311361,668,-5.32,103,1.03,686,-5.14,0,False
3.36,0.8083678396219031,1.0210345610446434,6.0,-4.978965438955356,686,-5.14,84,0.84,702,-4.98,0,False
4.0,1.8515444682693298,1.1587939483515768,6.0,-4.841206051648423,702,-4.98,107,1.07,716,-4.84,0,False
4.0,2.0831531599756574,1.281743980120133,6.0,-4.718256019879867,716,-4.84,105,1.05,728,-4.72,0,False
4.0,2.2885129621056577,1.3915474382392088,6.0,-4.608452561760791,728,-4.72,109,1.09,739,-4.61,0,False
4.0,2.091411585664182,1.5134842129965365,6.0,-4.486515787003464,739,-4.61,106,1.06,751,-4.49,0,False
4.0,1.5753242314983948,1.667322094147608,6.0,-4.3326779058523925,751,-4.49,100,1.0,767,-4.33,0,False
4.0,2.1382142491985423,1.7859134168125197,6.0,-4.2140865831874805,767,-4.33,102,1.02,779,-4.21,0,False
3.24,2.878354738988765,1.809089061964987,6.0,-4.190910938035013,779,-4.21,81,0.81,781,-4.19,0,False
4.0,1.8955644753260916,1.9426662149378477,6.0,-4.057333785062152,781,-4.19,101,1.01,794,-4.06,0,False
3.12,2.962504841637216,1.952747028454115,6.0,-4.047252971545885,794,-4.06,78,0.78,795,-4.05,0,False
4.0,2.518206105371075,2.0471767300888395,6.0,-3.9528232699111605,795,-4.05,100,1.0,805,-3.95,0,False
3.16,3.0663802323462215,2.0531667792445014,6.0,-3.9468332207554986,805,-3.95,79,0.79,805,-3.95,0,False
3.16,2.8231342818358316,2.0746758809790693,6.0,-3.9253241190209307,805,-3.95,79,0.79,807,-3.93,0,False
3.64,1.9784968041026079,2.1800187993632916,6.0,-3.8199812006367084,807,-3.93,91,0.91,818,-3.82,0,False
4.0,2.034245743516064,2.304604530534828,6.0,-3.695395469465172,818,-3.82,102,1.02,830,-3.7,0,False
0.84,1.2380409659305542,2.27951503197646,6.0,-3.72048496802354,830,-3.7,21,0.21,828,-3.72,0,False
4.0,3.1471315951442542,2.3339631237207663,6.0,-3.6660368762792337,828,-3.72,107,1.07,833,-3.67,0,False
3.4,3.245625907894869,2.343823527985324,6.0,-3.656176472014676,833,-3.67,85,0.85,834,-3.66,0,False
3.28,3.2764044843090123,2.3440532295875407,6.0,-3.6559467704124593,834,-3.66,82,0.82,834,-3.66,0,False
3.28,3.1296866866375725,2.3536459284987807,6.0,-3.6463540715012193,834,-3.66,82,0.82,835,-3.65,0,False
4.0,3.254167943509744,2.401265212137153,6.0,-3.598734787862847,835,-3.65,108,1.08,840,-3.6,0,False
4.0,3.404778988567808,2.439292217209571,6.0,-3.560707782790429,840,-3.6,100,1.0,844,-3.56,0,False
4.0,2.1115348455453424,2.558868583356761,6.0,-3.441131416643239,844,-3.56,109,1.09,856,-3.44,0,False
3.88,2.913738726704361,2.6203258509015743,6.0,-3.3796741490984257,856,-3.44,97,0.97,862,-3.38,0,False
3.88,3.418404093866084,2.6497662899196506,6.0,-3.3502337100803494,862,-3.38,97,0.97,865,-3.35,0,False
3.6,3.456897642736462,2.658894522793795,6.0,-3.341105477206205,865,-3.35,90,0.9,866,-3.34,0,False
4.0,2.521838699010957,2.7526226560760794,6.0,-3.2473773439239206,866,-3.34,102,1.02,875,-3.25,0,False
4.0,2.3000602016123803,2.860223813445289,6.0,-3.139776186554711,875,-3.25,105,1.05,886,-3.14,0,False
4.0,2.6099447663695217,2.9483213602385456,6.0,-3.0516786397614544,886,-3.14,101,1.01,895,-3.05,0,False
2.44,1.9335174640412376,2.980300187702384,6.0,-3.019699812297616,895,-3.05,61,0.61,898,-3.02,0,False
4.0,3.169654444067601,3.033056143255842,6.0,-2.966943856744158,898,-3.02,109,1.09,903,-2.97,0,False
4.0,3.3659603823697246,3.0733711928780063,6.0,-2.9266288071219937,903,-2.97,102,1.02,907,-2.93,0,False
3.32,3.8025906211362748,3.0426133782037965,6.0,-2.9573866217962035,907,-2.93,83,0.83,904,-2.96,0,False
4.0,3.1669400324135255,3.0955234284354356,6.0,-2.9044765715645644,904,-2.96,108,1.08,910,-2.9,0,False
4.0,3.7399167641452467,3.112088065383638,6.0,-2.887911934616362,910,-2.9,104,1.04,911,-2.89,0,False
4.0,3.4075296076319486,3.1497519061135475,6.0,-2.8502480938864525,911,-2.89,103,1.03,915,-2.85,0,False
3.96,2.4147781753636015,3.2474649227880317,6.0,-2.7525350772119683,915,-2.85,99,0.99,925,-2.75,0,False
3.72,3.503423142249205,3.2612309551281737,6.0,-2.7387690448718263,925,-2.75,93,0.93,926,-2.74,0,False
3.56,3.3302585676997247,3.2758205263335873,6.0,-2.7241794736664127,926,-2.74,89,0.89,928,-2.72,0,False
3.08,3.5318588111948865,3.247094512260576,6.0,-2.752905487739424,928,-2.72,77,0.77,925,-2.75,0,False
3.72,2.976599444277996,3.2942209211191598,6.0,-2.7057790788808402,925,-2.75,93,0.93,929,-2.71,0,False
4.0,3.430870910945668,3.330371399102216,6.0,-2.669628600897784,929,-2.71,109,1.09,933,-2.67,0,False
3.72,3.4400178447603205,3.3481545391167664,6.0,-2.6518454608832336,933,-2.67,93,0.93,935,-2.65,0,False
4.0,3.635511814592489,3.3713237596003034,6.0,-2.6286762403996966,935,-2.65,102,1.02,937,-2.63,0,False
3.64,2.920605815942024,3.416893198256131,6.0,-2.583106801743869,937,-2.63,91,0.91,942,-2.58,0,False
4.0,2.948920298089728,3.4834652412920133,6.0,-2.5165347587079867,942,-2.58,102,1.02,948,-2.52,0,False
4.0,3.26907974947546,3.529816806998387,6.0,-2.470183193001613,948,-2.52,101,1.01,953,-2.47,0,False
4.0,3.5098983355428177,3.5609255725109192,6.0,-2.4390744274890808,953,-2.47,106,1.06,956,-2.44,0,False
4.0,3.5981999538239524,3.586436432135919,6.0,-2.413563567864081,956,-2.44,105,1.05,959,-2.41,0,False
2.56,3.383886420935623,3.534167207018086,6.0,-2.465832792981914,959,-2.41,64,0.64,953,-2.47,0,False
