qe,qs,x,ref,erro,s,value_s,a,value_a,next_s,value_next_s,reward,done
0.9497140984284325,0.41069351732698794,0.04217101536855614,6.0,-5.957828984631444,600,-6.0,104,1.04,604,-5.96,0,False
1.087607426608647,0.5636242059097462,0.0792692324444614,6.0,-5.920730767555539,604,-5.96,89,0.89,608,-5.92,0,False
1.3665995115344072,0.706547552570155,0.12470159623282773,6.0,-5.8752984037671725,608,-5.92,93,0.93,612,-5.88,0,False
1.7867024274524759,0.8649945250415008,0.1869778233177539,6.0,-5.813022176682246,612,-5.88,108,1.08,619,-5.81,0,False
1.2608520657672153,0.9167182363434518,0.21005696059981252,6.0,-5.789943039400187,619,-5.81,68,0.68,621,-5.79,0,False
0.8083678396219031,0.9027101893388747,0.20373331806689413,6.0,-5.796266681933106,621,-5.79,40,0.4,620,-5.8,0,False
1.8515444682693298,1.0184787078208575,0.259269734010099,6.0,-5.740730265989901,620,-5.8,86,0.86,626,-5.74,0,False
2.0831531599756574,1.1350539342202983,0.32203891947162716,6.0,-5.677961080528373,626,-5.74,92,0.92,632,-5.68,0,False
2.2885129621056577,1.2497561458807016,0.3904304700732932,6.0,-5.6095695299267065,632,-5.68,97,0.97,639,-5.61,0,False
2.091411585664182,1.327517047375785,0.44054379459947574,6.0,-5.559456205400524,639,-5.61,85,0.85,644,-5.56,0,False
1.5753242314983948,1.3495813432113555,0.45533157422092474,6.0,-5.544668425779076,644,-5.56,61,0.61,646,-5.54,0,False
2.1382142491985423,1.4177040314404832,0.5024444976613213,6.0,-5.497555502338678,646,-5.54,80,0.8,650,-5.5,0,False
2.878354738988765,1.536185606548722,0.5899335187489702,6.0,-5.41006648125103,650,-5.5,107,1.07,659,-5.41,0,False
1.8955644753260916,1.5640005035528277,0.6115129812521093,6.0,-5.388487018747891,659,-5.41,68,0.68,661,-5.39,0,False
2.962504841637216,1.6680771246604926,0.6955918667762797,6.0,-5.3044081332237205,661,-5.39,106,1.06,670,-5.3,0,False
2.518206105371075,1.7283834557636542,0.746807851582391,6.0,-5.253192148417609,670,-5.3,88,0.88,675,-5.25,0,False
3.0663802323462215,1.81940233655555,0.8275321434502487,6.0,-5.172467856549751,675,-5.25,107,1.07,683,-5.17,0,False
2.8231342818358316,1.8848915151205736,0.8881852256999078,6.0,-5.111814774300092,683,-5.17,98,0.98,689,-5.11,0,False
1.9784968041026079,1.8908721251320793,0.8938471878587158,6.0,-5.106152812141284,689,-5.11,67,0.67,689,-5.11,0,False
2.034245743516064,1.9000232769239354,0.9025188697913996,6.0,-5.0974811302086005,689,-5.11,67,0.67,690,-5.1,0,False
1.2380409659305542,1.8573836399362813,0.8624867024814094,6.0,-5.13751329751859,690,-5.1,41,0.41,686,-5.14,0,False
3.1471315951442542,1.939589158615105,0.9404804144967561,6.0,-5.059519585503244,686,-5.14,103,1.03,694,-5.06,0,False
3.245625907894869,2.019493754356588,1.01956891999151,6.0,-4.98043108000849,694,-5.06,106,1.06,702,-4.98,0,False
3.2764044843090123,2.0936016184139445,1.0957737644519712,6.0,-4.904226235548029,702,-4.98,107,1.07,710,-4.9,0,False
3.1296866866375725,2.1528284043653687,1.1586524602357273,6.0,-4.841347539764273,710,-4.9,102,1.02,716,-4.84,0,False
3.254167943509744,2.21410032122125,1.2255450735463822,6.0,-4.774454926453618,716,-4.84,105,1.05,723,-4.77,0,False
3.404778988567808,2.278540176375151,1.2979212803673772,6.0,-4.702078719632623,723,-4.77,109,1.09,730,-4.7,0,False
2.1115348455453424,2.269592890458893,1.2877657611333984,6.0,-4.712234238866602,730,-4.7,66,0.66,729,-4.71,0,False
2.913738726704361,2.3038667945523508,1.32694155443987,6.0,-4.67305844556013,729,-4.71,90,0.9,733,-4.67,0,False
3.418404093866084,2.362010509639398,1.3947599752792093,6.0,-4.605240024720791,733,-4.67,105,1.05,739,-4.61,0,False
3.456897642736462,2.4177993528853285,1.4614257246859685,6.0,-4.538574275314032,739,-4.61,106,1.06,746,-4.54,0,False
2.521838699010957,2.423027169777537,1.4677637124265026,6.0,-4.532236287573498,746,-4.54,76,0.76,747,-4.53,0,False
2.3000602016123803,2.4168339588472314,1.460273389311995,6.0,-4.539726610688005,747,-4.53,68,0.68,746,-4.54,0,False
2.6099447663695217,2.426552265585532,1.4720363244821215,6.0,-4.527963675517879,746,-4.54,76,0.76,747,-4.53,0,False
1.9335174640412376,2.40166355038159,1.4420046659115127,6.0,-4.557995334088488,747,-4.53,56,0.56,744,-4.56,0,False
3.169654444067601,2.4403211703052965,1.4887824810525307,6.0,-4.511217518947469,744,-4.56,91,0.91,749,-4.51,0,False
3.3659603823697246,2.4861200699898904,1.5451876828742532,6.0,-4.4548123171257465,749,-4.51,96,0.96,755,-4.45,0,False
3.8025906211362748,2.549873499061288,1.625450500139118,6.0,-4.374549499860882,755,-4.45,109,1.09,763,-4.37,0,False
3.1669400324135255,2.5792233204820967,1.6630912667977642,6.0,-4.336908733202236,763,-4.37,90,0.9,766,-4.34,0,False
3.7399167641452467,2.6335743433507424,1.7339170996326307,6.0,-4.266082900367369,766,-4.34,106,1.06,773,-4.27,0,False
3.4075296076319486,2.6692117164956275,1.7811648448106867,6.0,-4.218835155189313,773,-4.27,96,0.96,778,-4.22,0,False
2.4147781753636015,2.65753805762298,1.7656302493068896,6.0,-4.23436975069311,778,-4.22,67,0.67,777,-4.23,0,False
3.503423142249205,2.696136582204485,1.817279701915435,6.0,-4.182720298084565,777,-4.23,97,0.97,782,-4.18,0,False
3.3302585676997247,2.7247147271774685,1.8560111665923578,6.0,-4.143988833407642,782,-4.18,92,0.92,786,-4.14,0,False
3.5318588111948865,2.7606745474212353,1.9053232584724185,6.0,-4.094676741527581,786,-4.14,98,0.98,791,-4.09,0,False
2.976599444277996,2.7702133848797947,1.9185182836060997,6.0,-4.081481716393901,791,-4.09,82,0.82,792,-4.08,0,False
3.430870910945668,2.7992150584329827,1.9588949161185156,6.0,-4.041105083881485,792,-4.08,94,0.94,796,-4.04,0,False
3.4400178447603205,2.8270643616919195,1.9980671925484077,6.0,-4.001932807451592,796,-4.04,94,0.94,800,-4.0,0,False
3.635511814592489,2.8618220302820014,2.04749910510821,6.0,-3.95250089489179,800,-4.0,99,0.99,805,-3.95,0,False
2.920605815942024,2.864328844691268,2.051094341860506,6.0,-3.948905658139494,805,-3.95,79,0.79,805,-3.95,0,False
2.948920298089728,2.8679389970039115,2.0562676779263143,6.0,-3.9437323220736857,805,-3.95,79,0.79,806,-3.94,0,False
3.26907974947546,2.884999358101614,2.0808015507008153,6.0,-3.9191984492991847,806,-3.94,87,0.87,808,-3.92,0,False
3.5098983355428177,2.9113790340497214,2.1190263969263623,6.0,-3.8809736030736377,808,-3.92,93,0.93,812,-3.88,0,False
3.5981999538239524,2.940104334160927,2.161047423795283,6.0,-3.838952576204717,812,-3.88,95,0.95,816,-3.84,0,False
3.383886420935623,2.9585184503956112,2.1882039086094482,6.0,-3.8117960913905518,816,-3.84,90,0.9,819,-3.81,0,False
3.9133197606330383,2.9977652499814127,2.2466414978852494,6.0,-3.7533585021147506,819,-3.81,104,1.04,825,-3.75,0,False
1.7917834217740816,2.948092858049082,2.1728263276307476,6.0,-3.8271736723692524,825,-3.75,47,0.47,817,-3.83,0,False
3.6579583640523965,2.9774310848115566,2.216267986563136,6.0,-3.783732013436864,817,-3.83,96,0.96,822,-3.78,0,False
3.9138812574373674,3.0156905381882,2.273589937436742,6.0,-3.726410062563258,822,-3.78,103,1.03,827,-3.73,0,False
3.5382935725957574,3.0368346422514283,2.305586798275157,6.0,-3.694413201724843,827,-3.73,93,0.93,831,-3.69,0,False
4.141855769869536,3.0810800891990624,2.373255455242477,6.0,-3.626744544757523,831,-3.69,109,1.09,837,-3.63,0,False
3.8693965995684043,3.112265295215634,2.4215427935380087,6.0,-3.5784572064619913,837,-3.63,102,1.02,842,-3.58,0,False
4.052864536892048,3.1490804870466986,2.4791701178680436,6.0,-3.5208298821319564,842,-3.58,107,1.07,848,-3.52,0,False
3.997934241973367,3.181945520809697,2.531188165683295,6.0,-3.468811834316705,848,-3.52,106,1.06,853,-3.47,0,False
3.1909342428062883,3.1822880952483636,2.531739306694334,6.0,-3.468260693305666,853,-3.47,84,0.84,853,-3.47,0,False
3.204239347087312,3.1831335809769485,2.5330846693424256,6.0,-3.4669153306575744,853,-3.47,84,0.84,853,-3.47,0,False
3.2192936811030615,3.1845258258081137,2.535300889363485,6.0,-3.464699110636515,853,-3.47,84,0.84,854,-3.46,0,False
2.863667930256258,3.1721497445024402,2.5156362590634487,6.0,-3.4843637409365513,854,-3.46,74,0.74,852,-3.48,0,False
3.5637397298259796,3.1872485729696654,2.539635335603852,6.0,-3.460364664396148,852,-3.48,92,0.92,854,-3.46,0,False
2.891240348861696,3.175840625593148,2.5214934507554747,6.0,-3.4785065492445253,854,-3.46,74,0.74,852,-3.48,0,False
3.6062566821634494,3.192413526626251,2.547872728817387,6.0,-3.452127271182613,852,-3.48,92,0.92,855,-3.45,0,False
3.4143586276708855,3.200923830363282,2.5614765977096114,6.0,-3.4385234022903886,855,-3.45,87,0.87,856,-3.44,0,False
3.8126866285143732,3.2242711786291447,2.5989766740259923,6.0,-3.4010233259740077,856,-3.44,97,0.97,860,-3.4,0,False
3.5889008982855195,3.2381065244772906,2.6213307201791647,6.0,-3.3786692798208353,860,-3.4,91,0.91,862,-3.38,0,False
3.830809954974425,3.260475287179473,2.6576705115261503,6.0,-3.3423294884738497,862,-3.38,97,0.97,866,-3.34,0,False
4.014644132539078,3.288721261509253,2.70391667363803,6.0,-3.29608332636197,866,-3.34,102,1.02,870,-3.3,0,False
3.9950042691829566,3.314958946167417,2.7472333646032605,6.0,-3.2527666353967395,870,-3.3,102,1.02,875,-3.25,0,False
4.094256416164151,3.3436749601423794,2.7950353638975995,6.0,-3.2049646361024005,875,-3.25,105,1.05,880,-3.2,0,False
3.7486729407832087,3.358502128885066,2.8198813154603406,6.0,-3.1801186845396594,880,-3.2,96,0.96,882,-3.18,0,False
3.973219319390991,3.3808878840138767,2.857596613839092,6.0,-3.142403386160908,882,-3.18,102,1.02,886,-3.14,0,False
3.9350877497969727,3.4009449788484787,2.89160299593027,6.0,-3.10839700406973,886,-3.14,101,1.01,889,-3.11,0,False
3.8225906777841714,3.416127112653304,2.9174782777541304,6.0,-3.0825217222458696,889,-3.11,98,0.98,892,-3.08,0,False
4.127462979351039,3.4415925490285204,2.9611352885356563,6.0,-3.0388647114643437,892,-3.08,106,1.06,896,-3.04,0,False
3.7826250708250124,3.453734364172839,2.9820679967273014,6.0,-3.0179320032726986,896,-3.04,97,0.97,898,-3.02,0,False
4.2392111688342435,3.481545510255834,3.0302849436764023,6.0,-2.9697150563235977,898,-3.02,109,1.09,903,-2.97,0,False
3.961580243976709,3.4984333579912428,3.0597559343705742,6.0,-2.9402440656294258,903,-2.97,102,1.02,906,-2.94,0,False
2.7111482597825174,3.470686248110898,3.011421694400242,6.0,-2.988578305599758,906,-2.94,71,0.71,901,-2.99,0,False
4.006425130320426,3.4895924354325625,3.044310439523436,6.0,-2.955689560476564,901,-2.99,105,1.05,904,-2.96,0,False
4.108328938167139,3.511297435107331,3.082298580973033,6.0,-2.917701419026967,904,-2.96,108,1.08,908,-2.92,0,False
3.328894233991912,3.504909649215598,3.0710991696599823,6.0,-2.9289008303400177,908,-2.92,87,0.87,907,-2.93,0,False
3.197813083029092,3.4941333701122765,3.0522441640533717,6.0,-2.9477558359466283,907,-2.93,83,0.83,905,-2.95,0,False
3.5954617104395887,3.4976940311455604,3.0584652063655033,6.0,-2.9415347936344967,905,-2.95,93,0.93,906,-2.94,0,False
0.6577978316299512,3.3965327924891495,2.8841361431538775,6.0,-3.1158638568461225,906,-2.94,17,0.17,888,-3.12,0,False
3.8633730897667626,3.413377386133975,2.9127831707462906,6.0,-3.0872168292537094,888,-3.12,100,1.0,891,-3.09,0,False
3.7552674224782545,3.425648934590216,2.9337653454366204,6.0,-3.0662346545633796,891,-3.09,97,0.97,893,-3.07,0,False
3.98534092667245,3.445646821429382,2.9681168731887344,6.0,-3.0318831268112656,893,-3.07,103,1.03,897,-3.03,0,False
3.7509266524654867,3.4565054279924183,2.9868554070730777,6.0,-3.0131445929269223,897,-3.03,97,0.97,899,-3.01,0,False
4.010301868932733,3.476120869460638,3.0208505401598607,6.0,-2.9791494598401393,899,-3.01,104,1.04,902,-2.98,0,False
4.193264967168361,3.5013609853967314,3.0648777737348665,6.0,-2.9351222262651335,902,-2.98,109,1.09,906,-2.94,0,False
3.5528146032809564,3.5031628039961165,3.0680370627141764,6.0,-2.9319629372858236,906,-2.94,92,0.92,907,-2.93,0,False
3.2262560984991655,3.4934417825660833,3.05103581538061,6.0,-2.94896418461939,907,-2.93,83,0.83,905,-2.95,0,False
3.6204087651762293,3.4979032558889536,3.0588309507685465,6.0,-2.9411690492314535,905,-2.95,93,0.93,906,-2.94,0,False
3.478619416157019,3.4972256957520824,3.057647022668032,6.0,-2.942352977331968,906,-2.94,89,0.89,906,-2.94,0,False
3.4932200573936476,3.497085106132494,3.057401087028651,6.0,-2.942598912971349,906,-2.94,89,0.89,906,-2.94,0,False
3.50735433327206,3.4974457235633665,3.05803157786392,6.0,-2.94196842213608,906,-2.94,89,0.89,906,-2.94,0,False
3.5210407791955616,3.498274083439651,3.059480231473197,6.0,-2.940519768526803,906,-2.94,89,0.89,906,-2.94,0,False
3.5298738065978044,3.4993831272990787,3.0614203549861116,6.0,-2.9385796450138884,906,-2.94,89,0.89,906,-2.94,0,False
3.5428541762113284,3.50090825326097,3.0640893572141077,6.0,-2.9359106427858923,906,-2.94,89,0.89,906,-2.94,0,False
0.8956675679612619,3.4083047568809186,2.9041597609883367,6.0,-3.0958402390116633,906,-2.94,22,0.22,890,-3.1,0,False
3.711832234339478,3.419232735508998,2.9227860558259624,6.0,-3.0772139441740376,890,-3.1,91,0.91,892,-3.08,0,False
4.305617046584672,3.4509090287301585,2.9771878036635764,6.0,-3.0228121963364236,892,-3.08,106,1.06,898,-3.02,0,False
4.410702672213349,3.484887898570954,3.036105156174591,6.0,-2.963894843825409,898,-3.02,109,1.09,904,-2.96,0,False
4.358073099656293,3.5155200449026522,3.0897150786594723,6.0,-2.9102849213405277,904,-2.96,108,1.08,909,-2.91,0,False
1.2947163951154064,3.4370639003668044,2.953371814790518,6.0,-3.046628185209482,909,-2.91,32,0.32,895,-3.05,0,False
3.8875334712790255,3.453128078810482,2.981020428746438,6.0,-3.018979571253562,895,-3.05,96,0.96,898,-3.02,0,False
4.400250800414394,3.4866409017087285,3.0391605052350377,6.0,-2.9608394947649623,898,-3.02,109,1.09,904,-2.96,0,False
4.342749823644465,3.516661800858803,3.091722430451005,6.0,-2.908277569548995,904,-2.96,108,1.08,909,-2.91,0,False
3.9619936624227803,3.5321780819238437,3.1190677060469003,6.0,-2.8809322939530997,909,-2.91,99,0.99,912,-2.88,0,False
3.924326781526309,3.545787074478425,3.1431490352086144,6.0,-2.8568509647913856,912,-2.88,98,0.98,914,-2.86,0,False
3.262408864341712,3.535955245489009,3.1257468161533337,6.0,-2.8742531838466663,914,-2.86,81,0.81,913,-2.87,0,False
3.4757866026872417,3.533865596063288,3.122051914719991,6.0,-2.877948085280009,913,-2.87,86,0.86,912,-2.88,0,False
3.9619501577279577,3.5487140429183675,3.148340171892825,6.0,-2.851659828107175,912,-2.88,98,0.98,915,-2.85,0,False
2.403049316316365,3.5088337184956555,3.0779872886932096,6.0,-2.9220127113067904,915,-2.85,60,0.6,908,-2.92,0,False
3.4982076163483766,3.5084665992208195,3.07733454109234,6.0,-2.92266545890766,908,-2.92,87,0.87,908,-2.92,0,False
3.506251037014807,3.508389082627942,3.077198503689312,6.0,-2.922801496310688,908,-2.92,87,0.87,908,-2.92,0,False
